c,c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,b,b,e,h,h,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,e
2626.1,2771.4,2933.9,3079.3,3215.7,3399.6,3546.9,3685.2,3842.5,4011,4164.7,4320.1,4470.2,4602.5,4750.4,4901.8,5050.7,5193.2,5337.9,5478.4,5616.9,5772.2,5925.3,6081.7,6166.3,6264.9,6386.2,6477.2,6599.3,6719.7,6855.5,6975,7038.5,7249.9,7351.7,7483.9,7631.1,7786.6,7869.8,7968.8,8085.2,8174.1,8296.6,8417.3,8548.6,8670.1,8734.2,8887.4,9023.3,9131,9253.3,9315.7,9483.9,9618,9745.2,9882,10018,10159,10287,10438,10586,10668,10769,10887,10977,11100,11224,11358,11479,11544,11693,11837,11952,12074,12136,12287,12419,12528,12648,12711,12855,12980,13137,13288,13375,13472,13595,13685,13807,13930,14066,14189,14251,14443,14548,14694
2648.7,2800.6,2963.3,3108.3,3244.4,3432.6,3576.1,3752.3,3905.2,4054.2,4206,4362.7,4505.6,4657.3,4803.1,4954.1,5103.8,5247.8,5391.2,5531.2,5687.4,5844.1,5995.6,6138.2,6229.6,6325.3,6427.2,6564.8,6685.7,6780.4,6907.9,7018.8,7103.1,7272.8,7405.1,7552.6,7700.6,7842.1,7931.8,8029.8,8128.1,8264.1,8382.6,8475,8599.8,8715.7,8798.6,8938.8,9058.1,9183.4,9298.6,9379.5,9521.2,9664.3,9800.6,9914.9,10047,10213,10361,10508,10642,10733,10828,10930,11072,11188,11280,11406,11526,11608,11748,11872,12003,12120,12200,12339,12453,12578,12694,12777,12911,13053,13209,13348,13438,13535,13638,13778,13896,13988,14117,14235,14316,14467,14613,14746
