e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1719,1943,2125,2261,2431,2563,2665,2743,2907,3069,3193,3299,3407,3501,3607,3725,3837,3915,4101,4291,4463,4631,4739,4817,4957,5121,5245,5349,5463,5557,5661,5785,5895,5971
1781,2011,2155,2325,2471,2637,2735,2799,2979,3141,3265,3363,3465,3561,3703,3813,3901,3969,4175,4339,4511,4707,4809,4879,5039,5195,5319,5421,5527,5621,5759,5869,5963,6031
