h,e,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1989,2127,2321,2471,2659,3269,3435,3625,3793,3957,4099,4205,4287,4417,4567,4685,4797,4907,5001,5105,5185,5333,5499,5627,5735,5851,5945,6057,6139,6285,6443,6565,6675,6797,6889,6999,7079,7207,7413,7593,7725,7825,7947,8061,8143,8303,8461,8585,8701,8819,8915,9021,9143,9259,9339,9497,9701,9897,10025,10127,10247,10363,10441
2025,2211,2359,2525,2711,3313,3491,3685,3855,4009,4171,4277,4345,4495,4641,4759,4869,4967,5063,5177,5245,5411,5575,5701,5809,5915,6005,6127,6195,6365,6519,6639,6743,6857,6951,7067,7137,7285,7471,7651,7783,7925,8031,8129,8201,8385,8535,8665,8771,8885,8975,9117,9233,9327,9397,9573,9749,9951,10085,10235,10333,10429,10497
