e,h,h,h,h,e,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
1597,1793,1991,2201,2381,2607,2837,3033,3237,3431,3585,3703,3813,3921,4015,4123,4201,4339,4497,4621,4731,4843,4935,5041,5163,5279,5359,5571,5767,5939,6097,6243,6349,6431,6567,6719,6845,6957,7071,7165,7267,7345,7477,7669,7857,7993,8103,8215,8309,8411,8529,8643,8725,8891,9095,9295,9437,9595,9717,9827,9947,10039,10143,10227,10363,10651,10809,10931,11033,11151,11267,11347
1645,1825,2023,2241,2429,2667,2885,3067,3351,3503,3657,3775,3879,3977,4067,4185,4251,4411,4567,4689,4793,4901,4993,5141,5249,5343,5411,5617,5807,5989,6149,6319,6415,6481,6639,6791,6919,7025,7127,7223,7331,7397,7553,7715,7907,8067,8167,8275,8365,8507,8613,8709,8775,8961,9139,9379,9511,9671,9795,9895,10005,10095,10207,10275,10437,10695,10853,10989,11131,11241,11333,11399
