k,h,h,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,k,f,f,c,g,j,d,d,c,b
7,151,311,437,535,657,773,855,1609,1819,1943,2093,2217,2331,2415,2549,2727,2903,3027,3129,3251,3363,3449,3703,3879,4097,4309,4459,4583,4693,4811,4909,5013,5141,5257,5339
47,201,359,489,637,747,843,911,1655,1885,2015,2165,2291,2403,2471,2627,2777,2953,3087,3233,3337,3433,3499,3749,3919,4185,4385,4537,4661,4759,4869,4961,5115,5229,5323,5391
