e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,f,f,c,g,j,d,d,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k
1835,1995,2189,2349,2479,2575,2661,2799,2955,3103,3209,3319,3415,3519,3639,3753,3831,4003,4157,4285,4395,4511,4607,4709,4831,4943,5021,5187,5337,5457,5567,5689,5783,5891,6013,6127,6207,6343,6493,6611,6725,6807,6945,7109,7237,7347,7463,7561,7667,7787,7903,7983,8121,8285,8413,8521,8637,8731,8839,8963,9081,9161,9297,9497,9701,9827,9955,10067,10155,10283,10439,10569,10685,10809,10909,11011,11131,11475,11641,11767,11869,11999,12111,12193,12341,12499,12629,12749,12833,12981,13139,13269,13385,13511,13607,13717,13837,13959,14041,14207,14359,14497,14615,14697,14837
1867,2023,2221,2379,2539,2639,2711,2867,3021,3167,3269,3375,3467,3615,3721,3813,3873,4069,4223,4353,4461,4569,4661,4803,4913,5003,5069,5253,5407,5527,5633,5743,5833,5989,6095,6185,6255,6413,6561,6683,6789,6855,7017,7179,7313,7409,7523,7617,7769,7871,7963,8033,8193,8353,8483,8585,8689,8787,8937,9049,9145,9213,9373,9545,9745,9903,10031,10139,10209,10359,10511,10643,10749,10871,10963,11113,11227,11523,11689,11821,11973,12085,12175,12245,12417,12571,12701,12815,12885,13057,13213,13345,13455,13571,13665,13815,13923,14023,14087,14281,14433,14571,14681,14747,14917
