h,e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,k,f,f,c,b,k,e
1815,1973,2149,2287,2471,2625,2785,2955,3103,3205,3283,3413,3567,3687,3805,3911,4003,4107,4225,4331,4409,4565,4743,4935,5103,5251,5377,5479,5557,5681,5833,5957,6063,6167,6263,6369,6483,6599,6677,6803,6967,7087,7193,7273,7703,7895,8047,8191,8307,8415,8499,8627,9987
1841,2059,2185,2361,2517,2687,2855,3009,3175,3277,3343,3495,3641,3757,3873,3969,4065,4205,4307,4401,4467,4645,4795,5051,5177,5325,5451,5547,5619,5765,5905,6029,6131,6225,6319,6465,6571,6665,6731,6883,7041,7161,7263,7325,7749,7923,8117,8263,8379,8479,8551,8699,10033
