e,e,e,e,h,e,h,h,h,h,h,e,e,h,f,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,h,h,h,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
779,1017,1065,1815,1993,2151,2383,2617,2811,3015,3197,3377,3559,3705,3841,3949,4029,4185,4419,4603,4747,4857,4935,5061,5213,5337,5447,5561,5657,5763,5883,5991,6071,6213,6373,6501,6611,6725,6821,6925,7005,7141,7297,7417,7531,7645,7741,7845,7927,8049,8235,8353,8445,8551,8677,8787,8863,9055,9255,9473,9609,9729,9835,9913,10091,10331,10551,10711,10847,10957,11073,11167,11271,11351,11473,11625,11761,11871,11953,12113,12301,12479,12601,12703,12821,12935,13013
833,1061,1133,1843,2023,2203,2409,2645,2849,3059,3243,3423,3607,3753,3913,4017,4085,4259,4471,4657,4817,4921,4987,5133,5287,5407,5513,5619,5713,5859,5963,6057,6123,6289,6449,6573,6679,6787,6879,6995,7061,7217,7375,7495,7595,7705,7795,7907,7971,8125,8297,8411,8501,8647,8761,8859,8929,9141,9309,9527,9687,9805,9905,9975,10169,10387,10603,10769,10927,11037,11135,11233,11345,11413,11555,11701,11837,11947,12015,12191,12349,12527,12655,12801,12909,13001,13065
