e,h,h,h,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,h,j,d,d,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,k,f,f,c,g,j,c,b,k,f,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b
295,735,1055,1249,1507,1825,1995,2177,2361,2535,2671,2779,2861,3015,3181,3317,3423,3539,3637,3745,3867,3979,4063,4447,4629,4781,4939,5073,5175,5299,5415,5501,5931,6115,6257,6397,6531,6635,6725,6879,7031,7155,7265,7383,7479,7587,7717,7833,7915,8381,8575,8807,8975,9121,9247,9361,9481,9579,9687,9769,9899,10055,10599,10753,10913,11017,11105,11231,11383,11521,11637,11759,11857,11965,12087,12201,12287,12417,12577,12711,12827,12945,13043,13153,13237,13389,13665,13835,13977,14087,14205,14303,14413,14537,14655,14737,14877,15265,15467,15637,15799,15927,16037,16121
339,761,1081,1277,1535,1871,2029,2227,2411,2581,2739,2845,2917,3093,3253,3387,3489,3595,3691,3841,3951,4043,4107,4497,4687,4833,4991,5127,5273,5385,5479,5543,5973,6167,6313,6447,6605,6705,6777,6959,7103,7227,7331,7441,7535,7693,7807,7901,7967,8435,8631,8899,9053,9193,9321,9431,9541,9631,9753,9821,9977,10129,10651,10801,10963,11085,11155,11309,11459,11601,11705,11819,11915,12067,12173,12269,12335,12497,12651,12783,12899,13007,13101,13217,13289,13467,13719,13889,14055,14155,14263,14361,14517,14623,14727,14791,14957,15315,15571,15713,15875,16003,16109,16177
