e,h,e,h,e,e,h,h,h,h,f,c,b,k,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,h,k,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,h,h,e,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,h
1997,2189,2325,2477,2607,2789,2957,3147,3303,3477,3607,3721,3795,3917,4087,4195,4283,4387,4503,4609,4683,4941,5111,5267,5383,5483,5603,5709,5783,5983,6135,6259,6367,6479,6571,6677,6793,6903,6979,7103,7249,7373,7483,7599,7691,7797,7921,8029,8107,8233,8389,8503,9289,9461,9585,9727,9829,9909,10037,10187,10307,10415,10529,10619,10725,10801,10933,11087,11219,11547,11699,11891,12031,12207,12395,12503,12585,12703,12855,12977,13089,13201,13293,13397,13519,13629,13709,13849,14049,14237,14361,14463,14583,14695,14773,15099,15277,15447,15635,15751,15831,15953,16103,16225,16337,16449,16541,16649,16773,16889,16967,17389,17553,17727,17923,18075
2065,2217,2383,2507,2665,2845,2997,3185,3351,3525,3681,3787,3855,4003,4151,4253,4347,4477,4583,4679,4741,4993,5161,5319,5441,5583,5685,5781,5843,6061,6207,6333,6437,6539,6633,6771,6879,6977,7043,7183,7323,7447,7555,7663,7755,7895,8001,8103,8167,8309,8463,8579,9343,9511,9643,9801,9899,9973,10115,10261,10385,10483,10589,10679,10795,10865,11015,11163,11289,11601,11753,11975,12107,12259,12449,12571,12643,12785,12931,13055,13163,13261,13357,13495,13605,13697,13761,13923,14099,14289,14423,14559,14669,14767,14837,15159,15335,15507,15691,15825,15893,16043,16181,16303,16405,16511,16601,16747,16859,16959,17029,17443,17605,17781,17977,18131
