e,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,k,h,j,d,d,c,b,h,h,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b
1683,1855,1989,2141,2305,2471,2601,2703,2781,2909,3059,3181,3293,3407,3501,3605,3683,3813,3963,4083,4197,4311,4407,4511,4591,4721,4871,4997,5107,5231,5323,5425,5549,5663,5743,5879,6065,6231,6353,6455,6577,6695,6773,6925,7075,7211,7327,7413,7553,7745,7917,8045,8147,8273,8391,8471,8803,8955,9089,9211,9325,9407,9555,9731,9895,10021,10123,10245,10359,10441,10583,10743,10865,10985,11103,11199,11309,11389
1735,1891,2059,2187,2371,2509,2673,2773,2839,2991,3137,3259,3369,3469,3559,3673,3739,3889,4037,4157,4273,4375,4469,4581,4643,4803,4947,5073,5177,5293,5387,5531,5637,5735,5805,5961,6113,6289,6419,6561,6665,6767,6833,7003,7155,7289,7403,7465,7639,7799,7973,8103,8249,8361,8463,8529,8857,9011,9167,9291,9399,9465,9637,9787,9951,10085,10225,10333,10431,10503,10665,10817,10943,11061,11169,11263,11379,11443
