e,h,e,h,h,h,f,f,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,f,c,k,e
795,959,1123,1509,1671,1847,1987,2109,2655,2841,3031,3205,3351,3449,3535,3683,3847,3969,4083,4195,4289,4399,4529,4639,4717,5197,5379,5563,5719,5845,5957,6073,6167,6277,6403,6519,6599,6733,6955,7153,7313,7489,7613,7691,7819,7977,8107,8219,8341,8435,8543,8669,8779,8865,9349,9497,9599,9723,9819,9927,10051,10171,10253,10387,10545,10671,10783,10901,10995,11103,11227,11343,11425,11557,11721,11847,11959,12039,12193,12369,12493,12609,12693,12825,13031,13173,13285,13459,13717
835,999,1187,1543,1721,1895,2063,2183,2705,2905,3097,3257,3423,3521,3591,3759,3923,4049,4155,4257,4355,4503,4617,4707,4771,5247,5495,5639,5799,5925,6033,6137,6235,6375,6495,6587,6659,6813,7035,7207,7363,7543,7681,7751,7905,8059,8189,8291,8401,8499,8649,8755,8847,8919,9399,9573,9669,9783,9875,10031,10145,10237,10305,10465,10625,10751,10855,10963,11061,11213,11315,11411,11475,11633,11799,11929,12029,12099,12273,12447,12573,12679,12749,12907,13079,13253,13359,13543,13831
