h,h,h,f,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,k,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,k,f,f,c,g,j,d,d,c,b
1651,1989,2155,2309,2409,2493,2619,2771,2891,2999,3085,3213,3385,3579,3733,3881,4003,4111,4193,4337,4523,4691,4807,4907,5025,5141,5223,5369,5543,5753,5991,6127,6281,6405,6517,6599,6739,6927,7111,7239,7341,7459,7575,7653,7803,7967,8089,8193,8321,8415,8519,8639,8755,8839,8983,9149,9279,9399,9479,9639,9831,10021,10221,10409,10563,10689,10801,10919,11013,11121,11243,11359,11439,11573,11749,11875,11981,12063,12449,12643,12811,12969,13087,13193,13313,13411,13519,13647,13763,13845
1685,2023,2197,2377,2471,2539,2693,2841,2963,3069,3135,3285,3429,3671,3805,3951,4075,4177,4239,4407,4571,4737,4861,5009,5111,5207,5267,5441,5617,5799,6037,6199,6351,6481,6583,6647,6813,6971,7159,7293,7437,7543,7635,7705,7873,8037,8161,8263,8379,8467,8615,8729,8817,8885,9059,9217,9353,9463,9527,9709,9877,10067,10319,10481,10637,10761,10871,10977,11067,11223,11333,11421,11487,11645,11821,11947,12047,12113,12495,12737,12881,13041,13163,13263,13371,13467,13621,13735,13825,13893
