e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,h,h,h,h,j,d,d,c,b
1795,1989,2149,2255,2335,2483,2639,2765,2887,2971,3137,3331,3511,3635,3739,3865,3979,4063,4215,4369,4495,4611,4695,4823,4983,5111,5231,5347,5443,5549,5629,5763,5967,6135,6257,6359,6481,6597,6681,7329,7513,7647,7775,7883,7969,8103,8257,8379,8491,8607,8703,8807,8889,9051,9211,9339,9449,9535,9679,9877,10051,10183,10285,10405,10521,10603,10757,10913,11771,11959,12143,12277,12403,12503,12625,12743,12825
1867,2029,2219,2317,2387,2561,2715,2837,2953,3021,3209,3379,3555,3687,3841,3951,4049,4119,4291,4447,4575,4681,4751,4901,5059,5187,5291,5405,5501,5615,5685,5837,6017,6183,6315,6463,6575,6671,6743,7373,7555,7695,7849,7949,8023,8183,8333,8455,8561,8667,8759,8875,8947,9129,9289,9417,9519,9593,9761,9931,10105,10243,10387,10491,10585,10659,10831,10989,11809,12001,12181,12327,12459,12609,12715,12809,12877
