e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k
1185,1649,1987,2157,2295,2389,2467,2621,2779,2897,3005,3119,3209,3311,3387,3509,3681,3809,3913,4027,4121,4225,4345,4457,4535,4679,4951,5117,5237,5353,5463,5577,5671,5773,5895,6005,6441,6647,6805,6943,7049,7165,7259,7363,7441,7569,7719,7845,7951,8067,8161,8267,8383,8497,8577,8777,8969,9175,9335,9493,9613,9719,9835,9929,10035,10115,10251
1213,1679,2023,2189,2359,2455,2517,2693,2849,2963,3067,3171,3261,3373,3435,3583,3755,3879,3979,4083,4179,4323,4433,4523,4583,4751,5001,5163,5311,5427,5531,5637,5729,5869,5983,6137,6571,6721,6881,7015,7123,7223,7315,7427,7495,7645,7795,7919,8021,8127,8219,8365,8471,8565,8631,8849,9013,9261,9409,9567,9687,9789,9897,9987,10103,10169,10329
