e,e,e,e,e,h,e,h,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,k,h,j,d,d,c,b,h,h,k,e,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b,k,k,h,e,f,f,c,b,k,k,f,f,c,g,j,c,b,k,h,h
1767,1925,2295,2497,2637,2853,3031,3219,3435,3663,3867,4055,4231,4493,4703,4879,5025,5129,5207,5351,5509,5647,5751,5869,5961,6067,6145,6283,6473,6635,6773,6881,6961,7103,7265,7391,7497,7609,7705,7809,7889,8033,8227,8389,8513,8615,8735,8845,8925,9055,9215,9341,9453,9569,9665,9769,9847,9991,10155,10285,10395,10511,10605,10711,10795,10921,11095,11271,11393,11495,11615,11727,11809,12103,12295,12447,12621,12727,12809,12937,13087,13211,13323,13411,13549,13735,13905,14019,14121,14243,14351,14435,14573,14833,15019,15221,15363,15485,15591,15675,15817,16215,16365,16487,16601,16733,16829,16937,17019,17177,18193,18393
1809,2069,2381,2529,2707,2891,3103,3269,3519,3715,3911,4099,4281,4555,4771,4933,5097,5201,5271,5427,5587,5717,5827,5927,6023,6133,6203,6359,6529,6693,6855,6953,7023,7183,7341,7467,7567,7673,7769,7879,7947,8115,8277,8445,8577,8715,8823,8917,8983,9135,9293,9417,9529,9633,9725,9841,9911,10067,10237,10363,10473,10567,10665,10783,10853,11001,11141,11329,11453,11597,11703,11799,11869,12159,12353,12509,12679,12803,12871,13017,13167,13289,13395,13473,13631,13789,13963,14087,14219,14327,14431,14497,14653,14911,15073,15283,15445,15563,15665,15735,15897,16295,16445,16571,16677,16799,16897,17011,17079,17255,18239,18449
