h,e,e,h,f,c,b,h,h,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,f,h,h,j,d,d,c,b,h,e,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,c,b,j,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,e,c,b,k,f
1781,1969,2163,2317,2447,2543,2619,2883,3055,3177,3277,3351,3503,3655,3775,3879,3989,4083,4183,4303,4413,4489,4631,4803,4921,5027,5137,5229,5333,5451,5565,5643,5771,5981,6167,6441,6579,6681,6789,6883,6989,7111,7223,7297,7723,7909,8011,8085,8215,8367,8505,8617,8697,8829,9049,9207,9335,9435,9551,9667,9745,9881,10043,10169,10273,10393,10483,10591,10711,10827,10905,11051,11281,11467,11575,11657,11779,11935,12061,12169,12251,12433,12581,12879,13045,13147,13251,13373,13487,13569,14149,14329,14435,14513,14635,14849,15033,15143,15227,15357,15519,15645,15749,15867,15961,16063,16181,16299,16383,17081,17273,17435,17585,17697,17779,17933,18127,18281,18405,18505,18625,18741,18821,19093,19307,19443,19543,19669,19793,19873,20475,20659,20759,20841,20963,21121
1813,2019,2207,2357,2513,2605,2671,2933,3099,3227,3337,3405,3571,3723,3847,3947,4043,4141,4285,4383,4475,4541,4705,4875,4993,5099,5199,5287,5429,5529,5629,5695,5845,6029,6301,6487,6651,6751,6847,6941,7089,7193,7289,7355,7775,7953,8077,8143,8289,8445,8577,8687,8757,8911,9105,9265,9393,9537,9633,9733,9799,9955,10115,10245,10341,10453,10543,10691,10803,10895,10961,11129,11331,11515,11641,11711,11853,12009,12135,12241,12307,12507,12657,12933,13101,13207,13349,13461,13553,13623,14199,14371,14503,14567,14715,14901,15083,15215,15287,15441,15597,15717,15821,15929,16021,16159,16271,16367,16433,17129,17357,17515,17661,17767,17833,18009,18171,18333,18459,18607,18713,18809,18877,19145,19359,19497,19643,19769,19861,19927,20521,20703,20829,20891,21039,21195
