e,h,e,h,e,h,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,k,h,e,k,f,f,c,g,j,d,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k
1105,1439,1835,1989,2199,2425,2561,2661,2771,2867,2971,3085,3201,3275,3527,3705,3879,4025,4143,4249,4363,4459,4557,4675,4789,4869,5181,5355,5563,5705,5807,5891,6011,6161,6409,6579,6765,6937,7087,7205,7309,7419,7513,7617,7737,7859,7975,8055,8191,8349,8473,8585,8665,8859,9063,9243,9363,9461,9579,9695,9777,9921,10077,10201,10307,10391,10525
1153,1467,1875,2023,2331,2471,2631,2727,2827,2919,3067,3167,3259,3325,3567,3813,3949,4093,4213,4311,4417,4511,4655,4759,4851,4915,5225,5397,5609,5777,5875,5941,6079,6231,6477,6623,6881,7007,7161,7275,7373,7477,7567,7717,7835,7947,8045,8103,8265,8423,8549,8647,8717,8937,9117,9295,9419,9561,9669,9761,9829,9993,10147,10271,10375,10445,10605
