h,e,h,e,h,e,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,j,d,d,c,b
2483,2647,2807,3005,3191,3359,3591,3793,4199,4347,4555,4697,4861,4995,5095,5177,5303,5457,5577,5695,5809,5907,6015,6135,6253,6335,6485,6643,6765,6879,6961,7099,7251,7377,7489,7611,7709,7813,7893,8023,8185,8315,8421,8531,8631,8735,8819,8949,9111,9241,9355,9439,9587,9781,9937,10051,10155,10275,10391,10475,11041,11203,11353,11475,11577,11701,11817,11897
2517,2693,2841,3099,3233,3421,3647,3831,4231,4391,4605,4767,4915,5067,5165,5237,5383,5535,5655,5771,5869,5963,6117,6227,6317,6387,6557,6717,6841,6949,7021,7179,7327,7451,7563,7671,7759,7877,7941,8101,8261,8389,8491,8595,8691,8807,8875,9029,9185,9319,9423,9493,9661,9825,9985,10107,10253,10369,10461,10535,11091,11253,11407,11541,11679,11791,11881,11949
