h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,k,j,d,d,c,b,h,e
1611,1993,2155,2327,2487,2629,2727,2809,2999,3153,3271,3383,3495,3589,3695,3817,3931,4015,4153,4349,4473,4583,4701,4797,4899,4981,5121,5271,5395,5503,5623,5715,5821,5943,6059,6139,6271,6459,6629,6757,6859,6979,7093,7173,7309,7473,7603,7719,7835,7933,8037,8121,8249,8409,8529,8641,8753,8849,8957,9037,9163,9371,9539,9693,9863,9977,10077,10201,10315,10399,11151,11341
1641,2029,2203,2373,2529,2699,2797,2859,3073,3225,3345,3451,3553,3645,3795,3901,3997,4063,4229,4423,4549,4651,4759,4853,4963,5033,5197,5347,5465,5571,5679,5775,5917,6031,6127,6195,6343,6503,6675,6811,6957,7061,7163,7223,7387,7547,7679,7787,7897,7993,8103,8173,8327,8485,8603,8713,8815,8907,9023,9093,9243,9421,9589,9743,9903,10033,10177,10289,10385,10453,11197,11427
