h,h,e,e,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,e,k,f,f,f,c,g,j,d,d,c,b,h,h,e,h,e,k,c,g,j,d,d,c,b
2573,2745,2903,3073,3245,3385,3487,3563,3713,3871,3991,4107,4215,4325,4415,4519,4637,4751,4825,5127,5287,5417,5537,5639,5753,5845,5947,6063,6175,6251,6393,6547,6671,6785,6891,6983,7089,7167,7297,7449,7569,7677,7789,7883,7985,8099,8215,8297,8457,8649,8833,8977,9083,9167,9311,9467,9589,9703,9791,9927,10113,10285,10453,10567,10643,10769,10919,11051,11157,11277,11369,11477,11603,11715,11795,12131,12287,12421,12551,12793,12955,13119,13239,13365,13473,13591,13681,13791,13911,14029,14111,14463,14633,14827,14969,15167,15365,15541,15653,15747,15855,15977,16093,16175
2607,2789,2965,3153,3299,3455,3551,3619,3785,3943,4063,4179,4283,4385,4475,4611,4721,4815,4879,5179,5335,5491,5613,5715,5815,5907,6049,6147,6243,6307,6473,6621,6747,6857,6955,7047,7155,7223,7373,7525,7643,7751,7851,7941,8081,8185,8283,8353,8537,8699,8889,9053,9157,9225,9391,9541,9667,9775,9843,10003,10163,10337,10505,10637,10709,10851,10997,11127,11229,11341,11431,11579,11689,11781,11849,12183,12337,12501,12607,12901,13033,13195,13319,13441,13547,13649,13741,13893,14001,14095,14167,14519,14689,14887,15023,15287,15447,15615,15717,15809,15959,16067,16163,16227
