e,e,h,f,c,b,h,h,f,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,c,h,h,e,c,b,k,f,f,c,b,h,h,h,k,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,k,h,h,e,k,f,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f
1117,1647,1831,1969,2081,2161,2375,2567,2709,2819,2899,3051,3211,3363,3471,3553,3705,3907,4091,4231,4333,4455,4547,4653,4775,4889,4971,5197,5397,5569,5725,5855,5965,6083,6179,6289,6371,6495,6647,6777,6889,7001,7099,7209,7329,7443,7523,7671,7833,7975,8103,8243,8339,8447,8569,8683,8767,8943,9097,9247,9363,9489,9583,9703,9781,10791,10961,11111,11243,11353,11441,11565,11715,11839,11945,12029,12159,12313,12439,12549,12663,12761,12867,12997,13115,13195,13331,13521,13717,13841,13949,14333,14503,14679,14785,14867,15003,15157,15289,15399,15483,16067,16227,16379,16515,16619,16741,16859,16941,17079,17243,17381,17489,17611,17709,17817,17943,18057,18143,18277,18439,18651,18891,19055,19253,19469,19635,19851,20111,20273,20399,20501,20629,20749,20831,20967,21133,21261,21373,21457,21591,21755
1145,1679,1859,2035,2137,2205,2419,2613,2783,2885,2953,3129,3283,3433,3533,3603,3777,3961,4141,4303,4403,4513,4605,4749,4855,4949,5021,5247,5507,5639,5799,5929,6033,6141,6235,6343,6419,6569,6723,6851,6957,7061,7155,7305,7411,7509,7575,7749,7909,8049,8167,8301,8397,8547,8657,8753,8821,9019,9169,9321,9431,9549,9641,9769,9835,10833,11007,11157,11315,11423,11491,11635,11791,11913,12013,12079,12233,12387,12515,12617,12723,12817,12969,13083,13181,13249,13403,13569,13763,13897,14025,14377,14553,14715,14851,14921,15079,15233,15363,15467,15537,16105,16275,16425,16565,16717,16827,16919,16989,17147,17317,17455,17555,17671,17769,17917,18029,18119,18189,18349,18513,18723,18937,19105,19355,19543,19711,19893,20161,20325,20449,20605,20715,20811,20881,21043,21207,21333,21443,21509,21665,21831
