e,h,e,h,e,e,h,f,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
615,1075,1219,1383,1521,1695,1855,1995,2099,2179,2549,2707,2843,2953,3037,3195,3351,3473,3579,3695,3791,3897,4023,4137,4217,4407,4577,4759,4871,4977,5099,5213,5297,5615,5755,5869,5953,6171,6321,6441,6557,6671,6767,6871,6989,7105,7187,7325,7481,7607,7719,7839,7937,8047,8169,8283,8365,8673,8823,8951,9053,9173,9293,9375,9573,9775,9951,10087,10201,10317,10415,10523,10645,10763,10845,11077,11233,11365,11481,11569,11739,11947,12107,12231,12335,12457,12577,12661
657,1101,1263,1411,1575,1755,1899,2063,2163,2231,2597,2757,2917,3017,3091,3267,3423,3543,3653,3753,3847,3999,4107,4201,4271,4481,4625,4801,4929,5069,5179,5283,5349,5663,5831,5939,6005,6245,6395,6517,6627,6729,6825,6971,7077,7171,7239,7399,7555,7681,7787,7901,7999,8143,8253,8355,8421,8719,8873,9005,9147,9261,9357,9429,9645,9821,9997,10163,10269,10379,10473,10625,10737,10831,10899,11155,11307,11441,11551,11623,11811,11995,12151,12289,12435,12549,12647,12713
