e,h,e,h,f,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1653,1829,1969,2157,2309,2409,2491,2627,2789,2911,3019,3095,3219,3419,3585,3715,3821,3937,4029,4133,4249,4361,4439,4621,4791,4917,5021,5137,5231,5337,5451,5565,5647,5791,5955,6079,6185,6301,6393,6501,6625,6739,6819,6949,7113,7473,7645,7805,7929,8077,8179,8291,8385,8491,8609,8723,8805,8931,9089,9215,9327,9437,9531,9643,9761,9879,9961,10089,10279,10465,10593,10695,10817,10931,11013
1707,1855,2031,2197,2377,2471,2543,2699,2859,2983,3083,3151,3293,3467,3633,3789,3885,3995,4087,4229,4335,4425,4493,4693,4863,4989,5091,5197,5287,5427,5535,5631,5701,5867,6027,6153,6253,6359,6457,6599,6711,6807,6871,7027,7183,7527,7699,7861,7985,8151,8251,8353,8445,8583,8695,8793,8863,9011,9163,9291,9399,9501,9597,9741,9849,9951,10017,10167,10329,10517,10655,10799,10905,11005,11073
