e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
95,305,1417,1821,1969,2159,2315,2453,2555,2637,2793,2937,3063,3175,3287,3383,3485,3605,3719,3799,3975,4127,4257,4367,4451,4579,4745,4867,4975,5089,5183,5291,5373,5509,5669,5793,5903,5989,6123,6303,6473,6637,6749,6833,6957,7111,7241,7347,7431,7565,7757,7939,8063,8165,8291,8405,8487
157,335,1519,1857,2025,2215,2361,2525,2623,2689,2867,3015,3139,3247,3351,3443,3589,3695,3781,3847,4049,4205,4329,4431,4505,4651,4819,4945,5045,5149,5243,5357,5429,5591,5745,5871,5973,6043,6199,6349,6519,6689,6819,6885,7033,7189,7321,7415,7487,7639,7803,7989,8115,8267,8385,8471,8541
