h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,k,h,j,d,d,c,b,k,f,f,e,h,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h
1991,2127,2305,2471,2607,2709,2793,2941,3115,3241,3355,3475,3571,3683,3799,3913,3995,4145,4349,4541,4687,4823,4931,5015,5157,5313,5435,5547,5629,5875,6029,6157,6255,6377,6491,6569,6703,6861,6985,7099,7181,7313,7483,7607,7715,7835,7927,8037,8159,8269,8353,8495,8643,8763,8875,8959,9103,9319,9475,9595,9697,9815,9931,10015,10143,10303,10425,10603,10829,10967,11075,11193,11289,11397,11521,11637,11719,12425,12593,12717,12843,12955,13039,13169,13323,13453,13563,13645,13821,14001,14175,14293,14393,14515,14631,14713,14851,15021,15151,15267,15353,15533,15711,15953
2027,2189,2365,2513,2677,2775,2839,3015,3187,3315,3423,3535,3627,3777,3885,3979,4051,4219,4395,4595,4735,4899,5001,5073,5235,5389,5511,5615,5679,5919,6079,6207,6357,6463,6551,6625,6781,6937,7063,7167,7233,7395,7557,7685,7783,7893,7991,8133,8247,8337,8405,8571,8719,8841,8943,9007,9179,9373,9529,9659,9795,9903,9999,10067,10219,10381,10505,10717,10881,11047,11147,11257,11355,11495,11607,11709,11779,12463,12643,12761,12919,13023,13093,13249,13401,13531,13639,13707,13901,14053,14231,14357,14501,14605,14699,14767,14929,15097,15231,15333,15407,15609,15763,15999
