h,e,k,f,f,c,b,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,h,e,h,j,d,d,c,b,k,h
57,251,425,581,717,823,905,1985,2315,2447,2551,2639,2771,2927,3057,3163,3245,3373,3523,3645,3753,3867,3963,4069,4151,4329,4481,4603,4709,4825,4919,5023,5145,5259,5339,5775,5993,6241,6383,6557,6711,6857,6957,7085,7203,7285,7505,7711
97,343,497,655,789,887,953,2019,2357,2519,2619,2689,2843,2999,3127,3229,3297,3447,3593,3715,3817,3923,4015,4131,4201,4401,4555,4677,4777,4885,4981,5125,5229,5323,5391,5821,6075,6287,6435,6611,6761,6911,7059,7177,7267,7337,7579,7761
