h,h,h,h,h,j,c,b,h,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,e,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1817,2253,2433,2627,2813,2959,3061,3141,3403,3575,3743,3879,4003,4113,4233,4329,4431,4557,4671,4753,4935,5081,5213,5327,5441,5537,5645,5765,5879,5959,6109,6275,6395,6501,6621,6719,6829,6949,7067,7147,7287,7441,7593,7703,7817,7915,8023,8103,8233,8399,8631,8771,8911,9019,9135,9231,9339,9465,9579,9661,9831,9987,10123,10237,10359,10459,10567,10697,10813,10893,11063,11223,11345,11455,11587,11681,11791,11873,12047,12249,12463,12605,12795,12903,12987,13137,13293,13427,13547,13671,13771,13881,14001,14125,14207,14559,14733,14857,14967,15097,15213,15297,15495,15659,15791,15905,15989,16127,16341,16511,16639,16743,16875,17001,17085
1847,2279,2463,2655,2841,3023,3127,3193,3453,3621,3797,3947,4073,4177,4291,4383,4525,4643,4731,4807,4999,5153,5281,5389,5497,5589,5745,5851,5943,6013,6181,6345,6469,6545,6681,6775,6925,7035,7131,7199,7361,7513,7663,7767,7875,7971,8087,8157,8311,8471,8671,8817,8983,9085,9193,9283,9437,9549,9647,9717,9909,10057,10193,10305,10421,10517,10669,10785,10877,10949,11135,11295,11423,11525,11645,11739,11859,11925,12123,12297,12513,12653,12843,12981,13039,13217,13373,13503,13621,13735,13829,13979,14093,14189,14259,14609,14781,14915,15063,15183,15285,15349,15573,15731,15863,15977,16045,16207,16387,16565,16697,16841,16963,17067,17139
