h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,b,j,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,e,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,e,c,b,k,f,k
1983,2221,2491,2677,2851,3033,3181,3323,3425,3505,3633,3793,3907,4023,4131,4225,4327,4445,4553,4631,4833,5007,5115,5195,5355,5543,5711,5835,5939,6019,6149,6301,6419,6529,6641,6737,6841,6961,7073,7149,7307,7459,7585,7697,7777,7911,8065,8215,8331,8411,8535,8729,8915,9065,9167,9287,9397,9479,9607,9771,9899,10013,10097,10225,10429,10617,10757,10877,10979,11099,11213,11293,11589,11769,11875,11955,12079,12249,12399
2029,2289,2543,2735,2911,3097,3237,3395,3495,3563,3713,3867,3985,4093,4191,4283,4421,4527,4625,4691,4887,5083,5187,5255,5435,5597,5765,5911,6011,6083,6237,6377,6497,6599,6705,6803,6939,7047,7139,7213,7385,7537,7659,7763,7839,7995,8145,8293,8405,8475,8621,8783,9021,9129,9265,9371,9469,9535,9687,9849,9977,10089,10159,10309,10485,10675,10817,10941,11077,11189,11281,11355,11649,11823,11945,12017,12159,12327,12501
