h,h,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,k,f,f,c,g,j,d,d,c,b,k,h,e,h,e,h,e,c,b,k,f,f,c,b
1659,1995,2179,2411,2585,2905,3137,3283,3435,3535,3615,3739,3891,4011,4115,4225,4319,4419,4537,4649,4733,4865,5043,5235,5401,5545,5667,5775,5855,5979,6151,6307,6425,6521,6643,6755,6835,6965,7119,7239,7343,7459,7553,7655,7773,7887,7969,8103,8295,8517,8677,8853,9309,9489,9623,9727,9815,9955,10107,10227,10339,10453,10545,10647,10727,10853,11015,11139,11247,11359,11459,11563,11685,11799,11879,12023,12387,12725,12851,13001,13105,13221,13309,13415,13541,13655,13735,13881,14107,14309,14783,14953,15087,15277,15393,15477,15601,15753,15873,15983,16067
1689,2029,2213,2479,2617,2935,3175,3313,3501,3595,3661,3809,3961,4081,4181,4273,4369,4511,4623,4711,4771,4935,5085,5333,5471,5619,5741,5837,5907,6051,6191,6353,6477,6621,6727,6819,6881,7039,7189,7311,7405,7515,7605,7751,7859,7949,8015,8175,8341,8559,8727,8891,9349,9535,9697,9795,9863,10029,10179,10301,10403,10513,10601,10711,10779,10927,11087,11215,11315,11419,11515,11663,11769,11863,11927,12091,12425,12793,12945,13075,13173,13277,13373,13519,13629,13719,13791,13957,14157,14403,14821,15007,15141,15319,15461,15531,15681,15829,15951,16023,16119
