e,h,e,h,h,h,f,c,b,j,f,f,c,g,j,d,d,c,b,h,e,k,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,h,e,k,f,f,c,b,k,h,f,f,c,g,j,d,d,c,b,k,h
1443,1599,1739,1981,2167,2339,2477,2589,2669,2803,2967,3089,3199,3313,3409,3515,3637,3751,3833,4061,4241,4445,4643,4827,4935,5015,5139,5291,5415,5527,5641,5735,5845,5925,6059,6243,6429,6605,6741,6871,6977,7091,7183,7287,7409,7521,7603,7737,7893,8015,8129,8209,8349,8509,8633,8745,8861,8957,9061,9183,9297,9377,9549,9745,9937,10103,10255,10375,10485,10603,10697,10799,10879,11007,11243,11415,11607,11761,11883,11991,12113,12207,12315,12439,12555,12635,13477,13663,13773,13857,13991,14165,14361,14663,14807,14929,15045,15127,15255,15451,15597,15719,15827,15943,16041,16149,16277,16389,16469,16603,16823
1481,1631,1805,2025,2215,2387,2551,2657,2723,2879,3041,3165,3271,3375,3469,3619,3725,3823,3889,4111,4383,4519,4697,4883,5009,5077,5217,5365,5491,5597,5705,5795,5915,5981,6139,6295,6483,6667,6797,6949,7047,7151,7245,7391,7499,7585,7659,7817,7969,8093,8201,8267,8427,8587,8713,8815,8921,9013,9167,9273,9365,9433,9629,9797,10053,10183,10331,10455,10561,10665,10755,10867,10935,11095,11297,11549,11685,11841,11961,12067,12173,12269,12421,12529,12625,12691,13525,13715,13849,13911,14071,14217,14529,14743,14887,15009,15117,15185,15339,15509,15675,15797,15903,16009,16105,16257,16365,16459,16527,16683,16877
