e,e,h,e,h,h,e,e,h,f,c,g,j,d,d,c,b
445,1165,1359,1523,1823,1971,2153,2325,2471,2601,2705,2815,2911,3017,3131,3259,3333
489,1239,1397,1575,1863,2017,2207,2379,2517,2673,2771,2873,2967,3113,3225,3321,3387
