h,h,h,e,h,f,h,h,e,e,h,f,c,b,k,f,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k
1991,2399,2587,2867,3201,3357,3827,3995,4165,4345,4511,4649,4759,4835,4961,5117,5359,5517,5639,5741,5859,5975,6055,6293,6457,6589,6703,6787,6933,7081,7213,7319,7433,7531,7633,7751,7863,7947,8085,8279,8463,8617,8743,8847,8969,9079,9161,9439,9605,9737,9843,9955,10053,10161,10281,10401,10483,10627,10855,11043,11173,11309,11413,11535,11633,11743,11867,11987,12069,12819,12953,13085,13197,13279,13413,13565,13691,13809,13893,14029,14255,14419,14549,14651,14779,14897,14983,15131,15291,15421,15535,15621,15783,16465,16621,16797,16929,17079,17183,17269,17487,17643,17773,17887,17977,18111,18269,18395,18507,18627,18723,18831,18957,19079,19161,19311
2019,2445,2635,2999,3243,3431,3871,4037,4229,4413,4565,4723,4833,4899,5045,5193,5403,5565,5695,5835,5943,6045,6115,6351,6507,6667,6779,6847,7009,7157,7287,7385,7491,7583,7731,7843,7931,8009,8165,8327,8519,8671,8807,8945,9055,9141,9215,9485,9653,9817,9917,10017,10121,10265,10373,10475,10543,10701,10903,11095,11221,11383,11487,11599,11699,11847,11959,12057,12125,12867,13003,13167,13269,13343,13497,13643,13769,13885,13951,14105,14299,14467,14603,14759,14869,14967,15041,15207,15369,15495,15609,15681,15867,16509,16669,16841,16979,17151,17255,17325,17567,17721,17851,17959,18029,18191,18349,18475,18581,18691,18785,18937,19051,19147,19219,19389
