h,h,j,d,d,c,b,h,e,h,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,h,h,j,d,d,c,b
7,195,315,419,535,655,739,1985,2257,2381,2759,3167,3837,4009,4143,4275,4379,4463,4609,4755,4875,4979,5099,5191,5295,5375,5507,5667,5789,5899,6017,6113,6223,6347,6463,6549,6677,6833,6959,7069,7189,7287,7395,7475,7615,7783,8395,8543,8667,8773,8897,9013,9091
59,253,375,519,631,723,795,2031,2307,2439,2809,3199,3865,4055,4191,4347,4447,4515,4683,4827,4945,5043,5151,5241,5357,5425,5583,5741,5863,5971,6079,6169,6323,6433,6525,6599,6751,6907,7031,7139,7247,7345,7461,7533,7693,7857,8431,8595,8723,8873,8979,9071,9139
