h,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,e,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,e,h,f,c,g,j,d,d,c,b,k,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1435,1809,1997,2151,2315,2497,2647,2773,2875,2951,3099,3269,3393,3501,3613,3703,3807,3927,4037,4117,4249,4451,4651,4811,4945,5045,5159,5251,5355,5475,5583,5665,5825,5987,6109,6221,6335,6429,6539,6659,6769,6849,6987,7139,7257,7365,7447,7575,7787,7941,8059,8159,8279,8389,8473,8613,8779,8911,9033,9143,9233,9343,9463,9543,9677,9835,9973,10083,10201,10297,10405,10485,10619,10775,10913,11023,11157,11251,11367,11447,11609,12315,12491,12733,12881,13031,13157,13261,13343,13477,13667,13845,13969,14075,14195,14313,14397,14537,14895,15051,15233,15357,15499,15607,15719,15817,15921,16043,16161,16245,16397,17353,17537,17703,17881,18015,18153,18259,18345,18477,18623,18745,18855,18971,19067,19177,19297,19409,19491
1463,1839,2049,2199,2371,2549,2687,2841,2941,3005,3173,3341,3467,3565,3671,3765,3905,4009,4101,4171,4325,4499,4739,4861,5015,5117,5217,5309,5451,5555,5649,5721,5901,6059,6179,6285,6395,6489,6635,6739,6837,6903,7063,7209,7331,7433,7501,7649,7833,7995,8117,8255,8361,8455,8525,8687,8855,8983,9095,9199,9291,9431,9533,9601,9755,9909,10047,10155,10263,10359,10477,10549,10697,10849,10987,11095,11219,11313,11435,11509,11685,12361,12545,12821,12959,13103,13229,13331,13397,13551,13719,13897,14033,14175,14287,14381,14447,14615,14945,15103,15289,15413,15577,15679,15783,15873,16019,16129,16231,16305,16475,17389,17587,17751,17935,18063,18227,18331,18403,18555,18699,18821,18927,19033,19127,19275,19379,19481,19543
