h,e,e,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c
863,1021,1185,1487,1651,1797,1985,2133,2237,2323,2465,2623,2755,2867,2987,3083,3187,3267,3411,3635,3819,3949,4059,4145,4271,4437,4565,4681,4797,4893,5001,5079,5221,5385,5515,5627
895,1071,1329,1547,1685,1869,2029,2199,2301,2371,2539,2697,2829,2937,3047,3141,3257,3323,3487,3687,3877,4029,4137,4203,4351,4515,4643,4759,4859,4951,5069,5131,5299,5461,5591,5695
