h,h,h,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b,k,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,e,h,h,h,f,f,c,b,k,f,f,c,g,j,c,b,k
1097,1809,1981,2439,2647,2859,3041,3193,3307,3389,3527,3683,3813,3927,4045,4137,4247,4327,4603,4787,4927,5063,5165,5279,5371,5479,5601,5723,5805,5955,6111,6231,6355,6463,6577,6673,6777,6905,7019,7097,7267,7475,7645,7779,7887,8005,8125,8203,8479,8661,8845,8997,9121,9229,9355,9449,9557,9677,9793,9877,10419,10567,10717,10841,10949,11063,11159,11265,11385,11501,11581,11727,11921,12101,12221,12327,12413,12549,12701,12857,12967,13085,13181,13289,13407,13527,13609,13933,14129,14331,14485,14615,14721,14805,14945,15159,15329,15525,15957,16113,16279,16421,16545,16653,16739,16865,17035,17163,17283,17395,17491,17601,17683,17851
1129,1843,2035,2469,2687,2909,3095,3271,3375,3443,3607,3757,3887,3997,4105,4201,4315,4383,4659,4843,4981,5139,5239,5339,5431,5583,5693,5795,5859,6031,6187,6309,6433,6533,6639,6733,6879,6989,7091,7157,7343,7523,7707,7841,7989,8097,8193,8261,8533,8781,8929,9077,9199,9305,9419,9511,9657,9767,9863,9933,10471,10623,10795,10919,11023,11125,11221,11363,11471,11573,11639,11809,11975,12181,12301,12405,12473,12633,12779,12939,13039,13149,13241,13389,13497,13597,13667,13987,14263,14409,14565,14689,14791,14863,15027,15213,15385,15629,16015,16161,16333,16503,16623,16727,16799,16947,17113,17245,17355,17459,17551,17671,17741,17933
