h,e,e,h,f,c,b,h,h,h,f,c,b,h,f,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,j,d,d,c,b
1379,1527,1719,1855,1995,2097,2173,2501,2671,2845,3027,3133,3215,3565,3717,3833,3943,4049,4145,4247,4367,4477,4557,4717,4885,5051,5175,5287,5405,5499,5601,5681,5815,5963,6091,6199,6311,6405,6511,6625,6739,6819,7421,7585,7715,7849,7969,8079,8191,8283,8389,8511,8623,8703,8835,9003,9125,9235,9347,9443,9551,9673,9787,9867,10011,10173,10299,10411,10531,10627,10733,10851,10965,11045,11321,11501,11669,11787,11887,12011,12125,12207,12375,12527,12653,12765,12847,12979,13177,13353,13533,13651,13735,13867,14031,14157,14275,14355,14997,15143,15263,15361,15485,15601,15683,15839,15993,16123,16233,16349,16445,16551,16673,16791,16873
1409,1569,1753,1889,2061,2159,2231,2549,2719,2891,3101,3193,3263,3603,3789,3907,4011,4105,4201,4347,4449,4541,4607,4785,4929,5095,5251,5353,5463,5553,5667,5737,5885,6035,6165,6269,6369,6461,6607,6713,6803,6871,7461,7633,7763,7927,8047,8145,8247,8345,8489,8597,8693,8763,8913,9077,9201,9305,9409,9509,9649,9763,9853,9921,10087,10249,10375,10481,10591,10681,10831,10941,11035,11105,11373,11551,11721,11847,11993,12101,12191,12263,12451,12603,12731,12837,12907,13059,13231,13407,13587,13725,13797,13951,14109,14237,14345,14417,15037,15187,15317,15467,15571,15665,15735,15913,16071,16199,16309,16407,16503,16651,16763,16855,16923
