e,e,e,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,k,c,g,j,d,d,c,b,h,e
287,1071,1377,1787,1993,2473,2651,2837,3013,3191,3317,3453,3551,3633,3765,3909,4023,4135,4247,4341,4449,4569,4683,4767,4903,5059,5181,5293,5407,5501,5639,5693,5829,5991,6111,6215,6299,6431,6625,6795,6915,7019,7141,7259,7339,7477,7637,7771,7881,7965,8111,8325,8487,8609,8711,8835,8951,9033,9207,9451,9621,9745,9837,9943,10065,10179,10263,11009,11179
325,1105,1475,1851,2025,2521,2699,2887,3077,3249,3365,3525,3621,3691,3839,3985,4105,4205,4311,4407,4551,4657,4751,4821,4979,5135,5259,5367,5467,5565,5677,5749,5911,6065,6187,6287,6357,6515,6677,6849,6973,7119,7229,7327,7395,7551,7715,7847,7947,8017,8189,8373,8543,8673,8813,8925,9019,9091,9283,9533,9697,9807,9899,10045,10157,10249,10323,11051,11235
