h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,b,k,h,h,e,h,f,c,b,k,f,e
859,1031,1271,1491,1659,1823,1989,2123,2227,2309,2471,2621,2747,2859,2971,3065,3175,3291,3405,3483,3633,3841,3965,4067,4187,4301,4379,4527,4689,4803,4915,5021,5119,5227,5349,5463,5545,6015,6181,6325,6447,6555,6639,6767,6921,7047,7159,7243,7373,7553,7729,7927,8065,8195,8297,8379,8517,8673,9211
885,1089,1303,1519,1715,1887,2027,2197,2295,2365,2545,2695,2819,2925,3029,3123,3271,3371,3471,3541,3709,3887,4023,4161,4273,4367,4431,4601,4765,4881,4985,5083,5183,5327,5437,5529,5595,6057,6227,6403,6523,6631,6695,6849,7001,7121,7229,7297,7451,7599,7775,7985,8117,8271,8369,8439,8597,8753,9253
