e,h,e,h,e,e,h,e,h,h,h,f,c,b,k,h,h,e,h,f,c,b,k,f,f,c,g,j,f,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,e,h,f,c,b,k,h
185,793,923,1995,2171,2391,2579,2743,3127,3323,3495,3663,3771,3853,4001,4261,4431,4639,4935,5067,5169,5257,5435,5591,5715,5825,5949,6045,6155,6615,6781,6959,7083,7163,7293,7451,7583,7703,7815,7913,8025,8103,8273,8481,8635,8763,8871,8957,9101,9263,9391,9503,9625,9723,9833,9949,10073,10153,10311,10499,10625,10739,10821,11087,11243,11365,11479,11593,11691,11799,11929,12047,12131,12305,12485,12629,12745,12833,13347,13509,13671,13817,13955,14061,14147,14291,14509
285,819,989,2027,2231,2453,2619,2803,3165,3351,3547,3737,3841,3905,4077,4315,4485,4741,4973,5139,5243,5311,5511,5665,5791,5895,6011,6107,6227,6663,6831,7013,7151,7223,7375,7531,7661,7773,7877,7975,8089,8165,8355,8535,8689,8839,8943,9011,9177,9341,9467,9577,9687,9783,9927,10037,10143,10215,10391,10575,10701,10811,10885,11141,11319,11445,11551,11657,11753,11905,12021,12119,12189,12387,12561,12709,12823,12891,13399,13565,13735,13873,14035,14135,14215,14377,14561
