h,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,e,h,e,h,f,f,c,g,j,c,b,k,f,f,c,h,e,h,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,h,h,h,j,d,d,c,b,h,e
529,1347,1541,1697,1855,1993,2097,2181,2321,2477,2603,2709,2791,2951,3147,3303,3419,3521,3635,3749,3831,4631,4765,4947,5085,5217,5339,5451,5565,5663,5767,5853,5985,6135,6255,6365,6659,6841,6973,7111,7213,7329,7427,7531,7655,7769,7853,8029,8235,8423,8531,8615,8741,8903,9031,9159,9267,9365,9471,9553,9699,9869,9993,10107,10227,10325,10433,10561,10671,10755,11305,11461,11607,11731,11839,11923,12067,12249,12507,12679,12793,12897,13023,13141,13227,13983,14153
561,1377,1591,1741,1901,2061,2163,2231,2395,2547,2673,2773,2839,3021,3195,3351,3471,3615,3723,3813,3879,4677,4811,4999,5131,5287,5411,5517,5627,5713,5833,5903,6059,6207,6331,6431,6699,6893,7023,7183,7279,7383,7483,7631,7741,7833,7903,8103,8279,8471,8599,8667,8815,8977,9103,9219,9327,9419,9511,9605,9775,9943,10067,10173,10285,10379,10531,10643,10737,10803,11339,11509,11681,11803,11903,11975,12141,12295,12553,12719,12845,12993,13113,13207,13277,14017,14197
