e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,e,h,f,c,g,j,d,d,c,b,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,f,c,b
1109,1359,1523,1703,1869,1993,2097,2175,2309,2471,2591,2697,2809,2903,3009,3131,3241,3319,3449,3649,3827,3961,4067,4153,4279,4483,4627,4773,4877,4997,5091,5197,5311,5431,5513,5815,5991,6119,6255,6371,6479,6589,6687,6791,6913,7023,7103,7233,7385,7505,7617,7699,7831,8007,8171,8299,8409,8525,8617,8723,8847,8957,9037,9171,9335,9461,9571,9651,9785,9939,10067,10181,10269,10401,10561,10689,10805,10887,11015,11197,11367,11481,11585,11701,11819,11895,12055,12431,12607,12753,12859,12943
1155,1387,1571,1757,1905,2065,2163,2235,2385,2537,2659,2759,2863,2955,3107,3209,3303,3365,3527,3695,3877,4033,4135,4201,4351,4529,4675,4847,4945,5055,5153,5295,5401,5493,5563,5851,6039,6165,6329,6447,6545,6649,6745,6891,6995,7089,7161,7309,7459,7575,7685,7751,7905,8051,8221,8373,8477,8583,8679,8821,8935,9023,9097,9251,9409,9535,9637,9701,9863,10017,10143,10249,10323,10477,10637,10761,10873,10933,11095,11245,11417,11535,11687,11787,11885,11955,12133,12481,12661,12827,12931,12997
