h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,h,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b
1803,1975,2135,2263,2361,2439,2567,2721,2847,2951,3061,3157,3255,3369,3477,3555,3689,3845,3967,4069,4181,4275,4379,4497,4611,4685,4989,5185,5381,5529,5647,5753,5867,5959,6059,6183,6289,6371,6519,6657,6777,6883,6965,7089,7253,7389,7491,7605,7697,7803,7881,8007,8159,8279,8385,8507,8603,8709,8823,8941,9023,9163,9335,9455,9567,9679,9775,9879,9999,10115,10193,10327,10489,10619,10727,10809,10959,11163,11375,11623,11753,11857,11975,12071,12177,12259,12389,12543,12665,12779,12861,13003,13213,13389,13507,13609,13729,13843,13929,14087,14307,14503,14675,14833,14967,15073,15155
1833,2015,2171,2327,2421,2483,2635,2787,2913,3007,3113,3207,3347,3449,3535,3601,3757,3911,4031,4135,4237,4327,4475,4581,4669,4733,5033,5297,5451,5595,5717,5815,5923,6009,6157,6265,6349,6417,6573,6729,6845,6947,7013,7165,7325,7457,7557,7659,7751,7865,7927,8075,8229,8349,8455,8565,8655,8803,8911,9003,9067,9237,9401,9527,9633,9737,9829,9975,10083,10177,10241,10399,10561,10693,10791,10857,11029,11209,11477,11657,11827,11927,12035,12123,12241,12311,12463,12617,12737,12845,12913,13075,13261,13437,13559,13707,13813,13911,13973,14163,14347,14593,14747,14907,15039,15137,15203
