e,e,h,e,h,e,e,h,e,h,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,h,h,e,h,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,k,e,k,f,f,c,g,j,d,d,c,b
1785,1977,2233,2365,2541,2681,2889,3359,3561,3721,3925,4113,4249,4353,4435,4567,4719,4843,4955,5039,5167,5349,5533,5661,5761,5885,5997,6075,6209,6369,6871,7023,7203,7339,7473,7575,7695,7789,7891,7969,8093,8273,8431,8553,8657,8779,8893,8977,9123,9277,9407,9535,9643,9737,9843,9919,10055,10277,10521,10681,10829,10953,11057,11173,11271,11373,11499,11621,11701
1821,2149,2277,2445,2585,2793,3017,3387,3621,3763,3971,4157,4321,4415,4483,4639,4793,4917,5023,5091,5245,5399,5583,5713,5863,5967,6059,6125,6281,6439,6915,7073,7261,7391,7549,7649,7757,7853,7961,8033,8179,8331,8489,8619,8755,8865,8965,9035,9203,9355,9485,9603,9707,9801,9913,9983,10141,10359,10619,10773,10909,11033,11129,11237,11335,11479,11591,11691,11759
