h,e,h,e,e,h,f,c,b,k,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1607,1805,1983,2149,2337,2491,2633,2731,2809,2969,3131,3253,3357,3437,3581,3747,3865,3985,4095,4205,4297,4401,4523,4633,4709,5085,5273,5453,5599,5723,5827,5939,6031,6145,6263,6375,6451,6841,6997,7161,7303,7433,7545,7625,7749,7917,8033,8205,8383,8531,8653,8761,8871,8963,9065,9143,9265,9419,9543,9657,9775,9869,9975,10095,10213,10291
1639,1875,2031,2215,2399,2543,2703,2799,2863,3045,3203,3325,3427,3493,3657,3821,3937,4061,4165,4265,4359,4503,4605,4703,4767,5139,5381,5527,5675,5799,5903,6001,6093,6243,6347,6447,6513,6895,7045,7231,7359,7513,7617,7683,7831,7991,8109,8323,8463,8609,8731,8835,8931,9023,9133,9203,9345,9495,9621,9733,9839,9931,10071,10187,10279,10349
