c,b,k,f,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,k,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b
7,61,189,339,1989,2199,2365,2573,2717,2857,2961,3041,3171,3321,3449,3559,3671,3765,3869,3947,4073,4225,4343,4475,4597,4709,4807,4913,5033,5143,5221,5379,5563,5773,5935,6091,6215,6325,6459,6551,6657,6739,6863,7019,7149,7269,7355,7507,7699,7901,8027,8127,8251,8363,8445,9239,9411,9577,9749,9867,9947,10073,10227,10349,10499,10611,10725,10823,10927,11055,11167,11247,11403,11595,11799,11913,12017,12137,12249,12331,12473,12631,12759,12873,12953,13083,13285,13453,13573,13679,13799,13911,13993,14439,14601,14757,14919,15049,15173,15283,15367,15499,15659,15787,15893,16023,16115,16223,16339,16455,16537
49,119,263,409,2019,2225,2413,2627,2767,2931,3029,3097,3245,3393,3519,3627,3731,3823,3937,4003,4151,4297,4417,4549,4665,4773,4863,5007,5111,5209,5277,5455,5613,5879,6011,6165,6291,6391,6519,6611,6723,6795,6943,7093,7223,7343,7409,7587,7749,7955,8081,8223,8335,8433,8501,9285,9461,9627,9799,9935,10005,10153,10301,10423,10571,10681,10789,10881,11027,11139,11237,11305,11483,11643,11847,11975,12113,12223,12315,12389,12551,12709,12833,12947,13013,13167,13335,13507,13633,13775,13885,13979,14051,14481,14649,14809,14973,15125,15247,15353,15421,15577,15731,15859,15963,16077,16173,16315,16427,16525,16593
