h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,b,k
1447,1979,2245,2419,2581,2773,2939,3077,3183,3261,3417,3571,3699,3809,3923,4017,4123,4247,4361,4443,4725,4905,5037,5143,5265,5377,5459,5607,5815,5997,6139,6245,6329,6465,6627,6767,6883,6961,7115
1477,2009,2293,2469,2647,2839,2993,3151,3253,3319,3493,3647,3773,3879,3979,4081,4225,4329,4429,4499,4775,4959,5103,5245,5351,5443,5515,5685,5861,6051,6215,6317,6387,6539,6701,6843,6955,7027,7193
