h,e,e,h,e,h,h,e,e,k,f,c,b,k,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,f,c,g,j,d,d,c,b,k,f,f,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,b,k,f,f,c,b,k,h,h,f,c,b,k,e,h,j,d,d,c,b,h,h,e,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
371,513,693,879,1063,1289,1505,1695,1979,2133,2287,2405,2487,2619,2823,2961,3065,3147,3285,3439,3557,3663,3773,3869,3973,4091,4203,4285,4591,4763,4935,5057,5201,5305,5419,5515,5623,5739,5853,5933,6067,6239,6361,6533,6689,6851,6971,7079,7197,7289,7393,7517,7631,7713,7849,8019,8147,8259,8371,8469,8575,8703,8821,8901,9217,9375,9487,9569,9697,9859,9989,10097,10181,10353,10551,10749,10879,10987,11071,11209,11429,11603,11737,11841,11961,12081,12165,12599,12761,12949,13065,13201,13319,13439,13535,13641,13769,13887,13969,14269,14445,14571,14677,14793,14915,15001
401,571,751,911,1099,1323,1539,1749,2031,2211,2363,2471,2543,2695,2861,3033,3133,3197,3359,3515,3635,3733,3833,3931,4075,4179,4269,4335,4635,4813,4973,5105,5275,5373,5475,5567,5721,5823,5923,5991,6141,6311,6435,6617,6761,6925,7047,7147,7251,7347,7493,7607,7699,7769,7927,8095,8221,8327,8431,8527,8681,8793,8889,8959,9269,9453,9557,9631,9777,9935,10065,10167,10235,10427,10599,10797,10949,11057,11123,11287,11489,11651,11799,11939,12051,12147,12211,12641,12809,12991,13115,13281,13389,13499,13595,13747,13859,13953,14023,14317,14495,14627,14777,14885,14979,15051
