e,e,e,e,h,e,h,h,h,h,e,e,h,f,c,b,h,h,e,h,f,c,g,j,d,d,c,b
915,1181,1415,1787,1979,2149,2349,2563,2789,2999,3177,3395,3559,3703,3807,3893,4273,4447,4635,4811,4947,5055,5177,5275,5379,5503,5619,5699
1005,1277,1531,1861,2023,2221,2395,2609,2833,3057,3241,3461,3611,3779,3879,3947,4329,4505,4745,4867,5027,5129,5241,5343,5479,5587,5697,5761
