k,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,h,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b
13,203,1651,1827,1985,2115,2217,2303,2437,2589,2709,2823,2929,3027,3133,3253,3365,3447,3583,3761,3955,4173,4353,4519,4715,4887,5043,5173,5281,5361,5499,5673,5795,5907,6021,6117,6223,6345,6461,6543,6793,6967,7155,7507,7671,7881,8059,8211,8329,8441,8521,8663,8827,8959,9069,9179,9273,9381,9461
87,253,1691,1871,2031,2187,2291,2357,2515,2661,2789,2887,2989,3085,3231,3341,3431,3501,3657,3809,4071,4249,4405,4567,4825,4961,5117,5251,5349,5419,5577,5751,5871,5983,6083,6175,6325,6437,6527,6597,6845,7021,7265,7555,7721,7985,8133,8285,8407,8507,8577,8741,8903,9033,9139,9239,9335,9449,9517
