h,e,h,e,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,h,e,h,j,d,d,c,b,k,h,h,e,h,j,d,d,c,b,k,e,k,f,f,c,g,j,c,b,k,f
303,437,621,767,933,1103,1291,1825,1995,2161,2331,2477,2611,2713,2797,2937,3089,3211,3319,3429,3527,3633,3715,3841,3995,4121,4231,4343,4439,4541,4663,4781,4861,4987,5253,5405,5569,5683,5775,5883,5999,6115,6199,6337,6491,6615,6727,6841,6935,7043,7125,7253,7407,7541,7651,7763,7859,7961,8083,8197,8279,8409,8599,8785,8901,8983,9113,9267,9387,9499,9581,9715,9867,9989,10103,10221,10313,10419,10501,10627,10837,11141,11293,11423,11525,11647,11763,11847,12697,12859,12993,13121,13223,13343,13461,13545,13677,13855,14017,14195,14319,14427,14529,14647,14759,14843,14967,15221,15395,15541,15663,15769,15885,15981,16085,16169,16303,16461
337,505,651,823,963,1145,1317,1853,2031,2215,2387,2515,2679,2777,2841,3007,3159,3279,3383,3487,3581,3693,3761,3913,4065,4193,4297,4403,4495,4639,4751,4845,4909,5065,5349,5479,5639,5741,5829,5977,6087,6179,6247,6409,6563,6689,6797,6893,6991,7107,7173,7329,7479,7613,7715,7821,7911,8059,8169,8261,8327,8483,8643,8849,8969,9035,9187,9339,9465,9567,9633,9793,9941,10069,10171,10277,10369,10485,10553,10705,10887,11187,11347,11477,11627,11735,11829,11899,12737,12909,13041,13177,13325,13431,13523,13595,13749,13899,14067,14251,14377,14481,14627,14731,14823,14893,15041,15339,15469,15613,15737,15841,15945,16035,16153,16215,16379,16531
