e,e,h,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
637,1063,1269,1415,1585,1721,1981,2227,2561,2713,2819,2899,3047,3209,3339,3449,3571,3667,3779,3855,4173,4351,4473,4583,4693,4803,4889,5267,5427,5583,5687,5771,5901,6055,6175,6287,6403,6497,6605,6729,6857,6939,7119,7311,7493,7685,7837,7957,8067,8153,8283,8451,8573,8689,8801,8897,9009,9087,9219,9375,9499,9605,9723,9815,9921,10043,10159,10243
727,1127,1307,1469,1619,1781,2025,2277,2603,2787,2883,2953,3121,3283,3415,3521,3631,3727,3841,3909,4221,4403,4529,4673,4775,4873,4943,5319,5477,5657,5759,5825,5977,6131,6253,6357,6463,6555,6705,6825,6927,6995,7193,7363,7613,7759,7913,8037,8139,8209,8359,8527,8653,8759,8863,8961,9077,9143,9301,9453,9571,9673,9785,9873,10025,10133,10227,10295
