j,e,h,e,h,h,h,e,h,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,c,g,j,d,d,c,b,h,h,j,d,d,c,b
281,1001,1465,1601,1993,2167,2345,2521,2743,2887,2991,3067,3197,3395,3551,3695,3811,3921,4035,4125,4227,4347,4457,4539,4673,4825,4947,5053,5163,5257,5359,5477,5593,5673,5813,5959,6085,6195,6313,6407,6513,6629,6747,6823,6967,7143,7257,7351,7463,7585,7701,7781,8153,8307,8425,8527,8649,8761,8841
319,1063,1493,1655,2027,2213,2391,2577,2789,2959,3057,3127,3269,3443,3601,3767,3883,3989,4089,4179,4327,4429,4519,4583,4747,4899,5017,5121,5221,5311,5453,5563,5661,5731,5887,6029,6157,6267,6371,6467,6609,6717,6809,6871,7047,7209,7319,7407,7563,7669,7763,7835,8207,8359,8481,8621,8731,8825,8897
