h,j,d,d,c,b,k,c,h,e,k,f,f,c,b,k,f,f,c,b,k,h,h,h,e,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,h,h,e,c,b,k,f,f,c,b,k
25,149,249,367,481,565,705,875,1983,2171,2337,2485,2603,2709,2793,2921,3075,3205,3317,3399,3531,3707,3879,4055,4231,4335,4421,4541,4697,4821,4935,5019,5147,5327,5441,5533,5639,5763,5877,5961,6105,6769,6931,7095,7279,7391,7471,7603,7751,7885,7993,8081,8237
79,207,345,455,555,621,783,941,2033,2267,2411,2561,2679,2779,2845,2999,3153,3283,3389,3459,3611,3757,3931,4103,4285,4407,4477,4623,4773,4901,5011,5081,5227,5387,5501,5593,5743,5851,5951,6017,6179,6813,6983,7149,7331,7467,7533,7683,7831,7963,8071,8141,8313
