h,e,h,e,h,h,h,h,e,e,k,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,h,h,e,h,h,e,e,h,f,c,g,j,d,d,c,b
305,435,585,727,1837,1983,2175,2331,2511,2657,2807,2937,3037,3115,3235,3381,3499,3607,3719,3811,3919,4037,4149,4231,4351,4529,4709,4833,4935,5051,5165,5245,5395,5543,5667,5775,5893,5985,6093,6213,6325,6403,6563,6745,6921,7075,7199,7303,7425,7535,7617,7781,7935,8061,8179,8295,8389,8493,8571,8707,8899,9093,9251,9417,9543,9643,9761,9875,9955,10193,10351,10521,10629,10709,10831,10983,11105,11219,11335,11431,11535,11653,11775,11857,12025,12205,12391,12521,12625,12747,12861,12939,13267,13453,13659,13835,14045,14365,14531,14707,14913,15057,15191,15297,15415,15515,15621,15739,15855,15935
333,497,621,789,1869,2031,2225,2377,2571,2719,2859,3007,3109,3175,3313,3457,3571,3675,3781,3875,4011,4121,4217,4285,4431,4579,4757,4889,5029,5141,5239,5303,5471,5619,5743,5845,5953,6049,6189,6301,6395,6467,6641,6795,6975,7135,7261,7399,7509,7607,7675,7865,8013,8139,8247,8357,8451,8561,8631,8789,8951,9151,9305,9471,9605,9745,9847,9945,10013,10249,10411,10575,10705,10769,10917,11061,11183,11295,11393,11493,11633,11745,11845,11919,12105,12259,12447,12587,12721,12833,12933,13003,13327,13509,13711,13889,14169,14417,14585,14767,14973,15107,15265,15367,15479,15577,15719,15829,15927,15993
