h,e,h,h,h,f,c,b,h,e,h,f,c,b,h,h,k,d,d,c,b,h,h,e,e,h,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,h,j,d,d,c,b
911,1079,1467,1653,1843,1993,2101,2181,2539,2745,2999,3131,3241,3325,3685,3839,3969,4069,4199,4311,4391,4745,4905,5079,5257,5407,5545,5651,5777,5873,5983,6063,6231,6387,6511,6621,6741,6835,6947,7029,7223,7401,7561,7689,7805,7927,8023,8133,8261,8377,8461,8619,8829,9007,9143,9245,9375,9489,9573,9739,9895,10049,10159,10245,10403,10559,10685,10797,10919,11019,11131,11257,11375,11461,11599,11769,11911,12021,12107,12417,12591,12771,12899,13003,13133,13251,13333
943,1135,1499,1687,1887,2065,2171,2239,2591,2863,3037,3203,3309,3379,3733,3885,4021,4167,4287,4377,4443,4783,4953,5139,5315,5455,5619,5721,5839,5931,6049,6117,6305,6467,6589,6691,6799,6891,7011,7079,7293,7479,7633,7761,7875,7989,8087,8235,8351,8445,8513,8693,8879,9061,9195,9349,9463,9555,9627,9815,9975,10123,10225,10299,10481,10635,10759,10871,10983,11079,11231,11341,11445,11513,11677,11847,11987,12093,12157,12469,12641,12825,12957,13107,13221,13319,13383
