e,h,e,h,f,c,b,h,h,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b
1449,1733,1951,2295,2443,2551,2633,2883,3073,3205,3309,3431,3545,3623,4175,4365,4583,4739,4865,4979,5101,5195,5303,5383
1515,1775,2011,2337,2513,2619,2689,2937,3129,3269,3403,3521,3619,3683,4229,4483,4661,4815,4941,5055,5165,5257,5373,5441
