h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b
1425,1565,1975,2141,2337,2501,2699,2853,2993,3093,3175,3317,3479,3599,3707,3817,3909,4013,4097,4231,4401,4525,4635,4751,4843,4947,5025,5163,5351,5513,5689,5807,5889,6011,6163,6285,6393,6513,6607,6711,6797,6929,7103,7259,7385,7483,7603,7713,7797,7959,8155,8363,8511,8667,8789,8899,9011,9105,9213,9335,9447,9529,9665,9817,9945,10059,10139,10267,10473,10641,10769,10871,10991,11105,11183,11313,11477,11617,11723,11811
1457,1625,2009,2175,2371,2559,2753,2901,3061,3157,3229,3391,3551,3673,3773,3879,3965,4075,4147,4305,4475,4599,4701,4805,4893,5013,5083,5235,5399,5563,5741,5877,5943,6087,6239,6359,6461,6573,6665,6783,6851,7005,7153,7311,7439,7583,7689,7779,7849,8037,8203,8463,8585,8743,8865,8969,9075,9163,9311,9423,9511,9583,9737,9891,10023,10127,10195,10347,10527,10697,10829,10969,11081,11173,11237,11393,11551,11691,11793,11861
