e,e,h,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,k,h,j,d,d,c,b,k,f,f,c,b,k,c,g,j,c,b,k,f,f,c,b,k,f,h,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,c,b,k,f,f,c,b
809,1093,1299,1633,1989,2273,2483,2639,2743,2825,2957,3103,3223,3339,3449,3547,3651,3733,3863,4019,4151,4265,4379,4477,4583,4703,4819,4899,5055,5231,5991,6177,6343,6489,6627,6729,6851,6967,7047,7185,7339,7463,7575,7659,7793,7961,8067,8161,8271,8353,8543,8699,8823,8937,9019,9159,9321,9583,9745,9913,10033,10115,10245,10399,10533,10643,10743,10873,11035,11159,11271,11389,11485,11595,11713,11835,11913,12065,12361,12487,12629,12741,12825,12949,13103,13227,13349,13429
901,1173,1333,1661,2027,2303,2527,2707,2807,2871,3027,3175,3299,3403,3509,3603,3715,3787,3935,4091,4227,4329,4435,4527,4681,4787,4883,4949,5129,5307,6043,6225,6387,6543,6685,6827,6939,7029,7093,7257,7413,7541,7645,7711,7867,8023,8123,8217,8337,8407,8623,8775,8903,9007,9079,9231,9393,9635,9797,9967,10107,10175,10321,10475,10611,10711,10775,10945,11111,11239,11349,11453,11547,11697,11805,11905,11975,12137,12397,12533,12703,12809,12873,13029,13179,13301,13413,13483
