c,b,f,f,f,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
35,119,245,397,521,643,725,1805,1983,2161,2299,2437,2543,2627,2757,2913,3041,3157,3239,3373,3537,3665,3781,3899,3995,4103,4231,4345,4425
111,181,329,477,601,711,785,1837,2029,2225,2357,2515,2619,2691,2847,2993,3123,3229,3299,3449,3617,3745,3851,3959,4061,4205,4319,4413,4479
