e,h,f,c,b,h,h,h,f,f,c,g,j,d,d,c,b,k,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,j,d,d,c,b,k,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,j,d,d,c,b
1815,1983,2151,2257,2335,2625,2793,2959,3083,3209,3315,3431,3527,3633,3751,3863,3941,4097,4279,4463,4653,4849,4993,5133,5235,5319,5449,5593,5713,5831,5941,6035,6139,6263,6373,6451,6599,6773,6957,7107,7263,7387,7487,7605,7719,7797,7927,8109,8219,8313,8419,8535,8655,8731,8885,9035,9159,9267,9383,9477,9583,9661,9791,9945,10069,10179,10267,10397,10563,10743,10871,10991,11105,11197,11307,11427,11539,11623,12055,12217,12403,12523,12659,12761,12849,12973,13127,13249,13361,13479,13575,13683,13801,13919,13999,14329,14511,14629,14729,14847,14967,15047,15389,15553,15689,15791,15917,16033,16111
1871,2027,2215,2307,2377,2655,2833,3009,3157,3283,3385,3487,3587,3729,3833,3927,3999,4175,4329,4517,4707,4919,5049,5207,5301,5371,5525,5667,5789,5899,5997,6087,6233,6349,6435,6513,6681,6823,7015,7161,7317,7443,7585,7695,7783,7853,8001,8173,8277,8371,8519,8629,8723,8793,8965,9111,9237,9337,9443,9533,9649,9711,9863,10017,10143,10247,10319,10475,10615,10791,10951,11061,11167,11263,11405,11517,11607,11677,12095,12259,12445,12567,12733,12831,12901,13045,13201,13327,13433,13541,13639,13783,13891,13985,14057,14371,14555,14683,14835,14937,15031,15101,15433,15599,15745,15897,16005,16095,16167
