e,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,b,k,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,e,h,e,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b
1553,1739,1959,2143,2321,2465,2569,2653,2823,2983,3099,3217,3325,3419,3521,3599,3759,3961,4143,4271,4371,4457,4645,4849,5007,5131,5231,5351,5463,5543,5955,6145,6249,6329,6463,6621,6745,6853,6963,7059,7165,7283,7395,7473,7659,7955,8109,8231,8351,8461,8571,8667,8771,8887,9001,9083,9227,9381,9525,9633,9717,9885,10209,10425,10579,10769,10955,11051,11133,11257,11407,11537,11647,11729,11861,12045,12261,12413,12569,12701,12813,12897,13035,13267,13447,13589,13689,13811,13927,14005
1609,1771,2011,2191,2367,2537,2637,2707,2895,3053,3169,3279,3383,3473,3587,3651,3837,4011,4191,4347,4439,4509,4719,4897,5059,5189,5331,5435,5527,5587,5995,6181,6315,6381,6535,6695,6819,6917,7023,7115,7263,7365,7457,7525,7731,8005,8181,8305,8427,8529,8631,8721,8869,8973,9065,9135,9297,9457,9601,9701,9769,9959,10245,10499,10657,10821,11001,11123,11195,11339,11485,11613,11717,11789,11941,12101,12351,12493,12647,12777,12883,12955,13113,13321,13503,13649,13793,13901,13995,14065
