h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,e,h,e,c,b,k,f,f,c,b,k
1855,1995,2341,2509,2683,2873,3009,3149,3245,3325,3479,3627,3739,3849,3953,4049,4153,4269,4379,4457,4583,4737,4863,4973,5051,5185,5379,5541,5669,5789,5891,6005,6099,6203,6321,6431,6511,6753,6899,7031,7143,7257,7349,7455,7577,7685,7763,7899,8045,8171,8279,8357,8489,8667,8843,8969,9067,9185,9295,9375,9567,9723,9851,9957,10069,10163,10271,10391,10503,10583,10787,11023,11195,11351,11477,11591,11671,11799,11953,12071,12181,12293,12387,12495,12571,12715,12883,13017,13127,13243,13343,13443,13563,13683,13763,14041,14265,14469,14987,15159,15319,15477,15591,15671,15799,15951,16075,16199,16277,16413
1883,2051,2387,2555,2743,2935,3059,3219,3317,3383,3551,3701,3813,3921,4013,4103,4247,4355,4449,4513,4665,4809,4935,5045,5109,5261,5429,5593,5745,5863,5969,6067,6161,6299,6405,6501,6567,6809,6975,7105,7219,7319,7411,7557,7665,7757,7827,7983,8125,8249,8355,8423,8575,8725,8903,9031,9163,9271,9365,9439,9651,9801,9925,10035,10129,10227,10371,10475,10573,10643,10875,11127,11279,11429,11555,11665,11733,11885,12031,12151,12253,12355,12447,12565,12637,12799,12961,13095,13207,13309,13403,13539,13653,13751,13827,14101,14321,14525,15025,15215,15363,15527,15653,15723,15877,16023,16151,16263,16335,16489
